ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901006646800853  309.3133846028  -53.3515399697 17.14 7
901006646802261  309.3699007069  -53.3488359144 17.29 6
901006646805756  309.5104690911  -53.2966074495 17.54 5
901006646807553  309.5840017394  -53.2292086849 17.42 6
901006646909839  310.0965210492  -53.2007881435 16.61 7
901006647003005  310.2230455756  -53.2093040803 16.96 7
901006647203680  311.1045792728  -53.1808439374 17.09 7
901006647204352  311.1344763127  -53.1400327465 17.81 5
901006647209355  311.3394171646  -53.2391353402 17.67 5
901006647305891  311.5914578810  -53.2901672240 17.24 7
901006647308722  311.7128196868  -53.2415302034 17.30 6
901006647405331  312.0026886271  -53.3426852924 17.97 5
901006647610413  313.0229661046  -53.1524298609 17.65 5
901006647703963  313.1854786753  -53.1328933856 17.19 7
901006647901727  313.9353473102  -53.1821780050 17.53 5
901006647903993  314.0419044048  -53.2401235204 17.31 6
901006647904079  314.0463404728  -53.2032175735 17.35 6
901006648005432  314.4845607448  -53.2829468904 17.47 6
901006648009174  314.6398256789  -53.2718628335 17.24 7
901006648101588  314.7576390652  -53.2223270954 17.14 7
901006648105232  314.9137600977  -53.3526579884 17.69 5
901006648200708  315.1289726554  -53.3525871561 16.93 7
901006648200763  315.1313265493  -53.2968928615 17.08 7
901006648301845  315.5840622209  -53.2541482963 17.21 7
901006648306508  315.7767445313  -53.2912850042 17.24 7
901006648308272  315.8526003402  -53.3298020435 17.83 5
901006648502963  316.4834566749  -53.1411134244 17.86 5
901006648604930  317.0177121793  -53.1431074221 16.85 7
901006671707606   52.8688884570  -52.8955761592 17.44 6
901006672205755   54.8485300836  -53.0128024008 16.71 7
901006672401460   55.5003544112  -53.0119149650 16.91 7
901006672404064   55.6010268466  -52.9184130068 16.98 7
901006672406825   55.7008116053  -52.8861087866 17.39 6
901006672709807   57.0659983018  -52.9038931168 16.74 7
901006673000370   57.9433610847  -52.9271991679 17.96 5
901006673000739   57.9615683902  -52.9128822346 16.95 7
901006673003923   58.1130601748  -53.1129510488 17.03 7
901006673204652   58.9311574432  -52.9256343541 17.19 7
901006673205342   58.9616921595  -53.0104432340 17.04 7
901006673205368   58.9624316720  -52.9134338199 17.37 6
901006673207114   59.0354676257  -53.1005796001 17.52 5
901006673303663   59.3468474332  -53.0110611728 16.68 7
901006673304308   59.3795362772  -52.9781781142 16.69 7
901006681102318   91.5838636430  -52.9046373030 16.78 7
901006681205099   92.1069589906  -53.1215441877 17.86 5
901006681205453   92.1262414034  -52.9377933830 17.56 5
901006681208391   92.2744678904  -52.9430290080 17.10 7
901006681300247   92.2836631114  -52.9248375942 17.49 6
901006681400432   92.7060572896  -52.8875178589 17.36 6
901006681500465   93.1280176155  -53.0708267447 17.53 5
901006681500964   93.1546732402  -53.0330705375 16.90 7
901006681501400   93.1783445004  -53.0270381120 17.22 7
901006681502279   93.2236416143  -53.1110842271 16.76 7
901006681601156   93.5790682287  -52.9479952089 16.84 7
901006681606110   93.8607184600  -52.9691451503 17.72 5
901006681702292   94.0624357389  -53.0751035502 16.73 7
901006681705798   94.2530869018  -53.0236555415 17.07 7
901006681804118   94.5352744736  -52.9740592019 17.15 7
901006681804202   94.5392490504  -52.8932712353 17.46 6
901006681805731   94.6179814817  -53.0827151683 16.62 7
901006681904688   94.9762311076  -53.0395552935 17.47 6
901006681905742   95.0298486609  -52.9278353193 16.90 7
901006681908364   95.1640480488  -53.0559294737 17.98 5
901006682101543   95.6836167663  -52.9029604662 17.33 6
901006682102832   95.7795589241  -53.0253549286 17.70 5
901006682201644   96.1412267964  -53.0031712042 17.42 6
901006682201747   96.1509969854  -53.1160143332 17.29 6
901006682202291   96.2101014930  -52.9865882075 16.66 7
901006682202913   96.2758677027  -53.0953592308 17.61 5
901006682303491   96.7097167181  -53.0266897920 17.36 6
901006682303536   96.7128460512  -52.9049461223 17.00 7
901006682403150   97.0294553649  -52.9592617010 17.23 7
901006682502862   97.4483098639  -52.9961324840 16.67 7
901006682503907   97.5217328570  -52.9811492905 17.54 5
901006682604156   97.9404116092  -52.8822227043 17.41 6
901006733604362  308.8479892198  -53.0392989968 16.91 7
901006733608055  308.9915811482  -52.9035082938 17.00 7
901006733609452  309.0457346895  -52.8855227000 16.70 7
901006733700641  309.1238835983  -52.8797453535 17.09 7
901006733706537  309.3641879217  -53.0029708292 17.15 7
901006733802670  309.6218673197  -52.9868677218 16.87 7
901006733900734  309.9554036230  -53.0202377889 17.06 7
901006733901054  309.9672161679  -53.0708252278 17.22 7
901006733905005  310.1170416344  -52.9585327795 16.86 7
901006733909698  310.2906763129  -52.8993485903 17.14 7
901006734100319  310.7660778831  -52.9038309359 16.68 7
901006734305058  311.7900300269  -53.1029609380 17.38 6
901006734403334  312.1360410381  -52.9546778496 17.53 5
901006734409076  312.3770712383  -53.0557225685 17.58 5
901006734503218  312.5415431269  -52.9575517829 16.71 7
901006734504114  312.5830293974  -52.9735510544 17.16 7
901006734504767  312.6105610013  -52.9310012400 16.93 7
901006734506362  312.6802836005  -52.9443056087 17.15 7
901006734608662  313.2045871269  -52.9844383858 17.37 6
901006734703604  313.3963414657  -52.8824553044 17.42 6
901006734703724  313.4015514993  -53.0916633201 17.29 6
901006734704797  313.4501933366  -53.0940843262 17.79 5
901006735204259  315.4883532457  -53.0421453488 16.62 7
901006735302914  315.8416453056  -53.0803819377 17.62 5
901006735307221  316.0168667202  -53.1126932153 17.19 7
901006735308487  316.0713623040  -52.9157110552 17.49 6
901006735309470  316.1160045632  -52.9280713974 17.85 5
901006735500718  316.5778233156  -52.9809029827 17.78 5
901006735501482  316.6104180326  -52.9137749314 17.36 6
901006735600776  316.9981243637  -52.9658286700 16.93 7
901006735601933  317.0494495564  -52.9834850300 17.19 7
901006735606196  317.2452192195  -53.0464752465 16.67 7
901006758701305   52.2408261918  -52.8127759495 17.53 5
901006758809729   52.9820379131  -52.7194659361 17.75 5
901006759200618   54.2699507684  -52.8207758403 17.09 7
901006759200779   54.2763563845  -52.6981877938 17.54 5
901006759207125   54.5501445318  -52.8629224737 17.57 5
901006759503693   55.6206941050  -52.6969807976 17.21 7
901006759600724   55.9157232966  -52.6360492555 17.09 7
901006759601301   55.9420277346  -52.6490210113 16.77 7
901006759807724   57.0131295034  -52.7287077813 17.01 7
901006759810141   57.1164056510  -52.8012803046 16.99 7
901006759903709   57.2765812551  -52.8717336487 16.78 7
901006760004509   57.7389360811  -52.6679383666 17.51 5
901006760103538   58.1159073062  -52.6306556505 17.46 6
901006760401850   59.2579003629  -52.8090094382 16.93 7
901006768300578   91.6745510988  -52.8447209700 16.87 7
901006768301095   91.7012945471  -52.6625044290 17.42 6
901006768304013   91.8602976529  -52.8196857834 16.60 7
901006768401399   92.1175722258  -52.7354261317 16.93 7
901006768401539   92.1245145313  -52.7838728026 16.71 7
901006768402336   92.1633148287  -52.7999771174 16.96 7
901006768407382   92.3910311574  -52.7367517012 17.37 6
901006768407695   92.4038284506  -52.6713976825 17.69 5
901006768504743   92.6785121970  -52.6678786710 17.14 7
901006768603458   93.0545886957  -52.7842289084 17.24 7
901006768604216   93.0912772696  -52.8128588932 16.67 7
901006768604386   93.1007398615  -52.6872408784 17.24 7
901006768605846   93.1766964391  -52.7923032977 17.06 7
901006768607384   93.2578058077  -52.8299531670 18.00 5
901006768700768   93.3258890166  -52.8479840067 17.20 7
901006768701344   93.3591750537  -52.7471963587 16.74 7
901006768703575   93.4730081058  -52.8432065878 16.76 7
901006768706900   93.6494069438  -52.7912654685 17.95 5
901006768803944   93.9116626127  -52.8657737060 16.89 7
901006768804021   93.9164646848  -52.7020247231 17.11 7
901006768901517   94.1781443047  -52.7673457313 17.66 5
901006768901543   94.1794778967  -52.8718142399 17.09 7
901006769001849   94.5977136652  -52.6962938671 16.78 7
901006769003319   94.6710892535  -52.8003898775 17.24 7
901006769003993   94.7006472331  -52.7737355626 17.60 5
901006769100334   94.9398478999  -52.6465166531 17.87 5
901006769102068   95.0087079868  -52.8206675892 17.61 5
901006769106048   95.1784690880  -52.6718499822 16.65 7
901006769403062   96.4379703604  -52.8021633402 16.73 7
901006769504100   96.9109815726  -52.7740447559 17.10 7
901006769601338   97.0801502730  -52.6793739621 17.94 5
901006821100523  308.6476063114  -52.7387931944 17.48 6
901006821106020  308.8482705736  -52.7987427106 17.38 6
901006821202159  309.1288997882  -52.6697540990 17.31 6
901006821206404  309.2972825913  -52.6477196622 17.94 5
901006821209923  309.4340969977  -52.8519779032 17.19 7
901006821303750  309.6036148611  -52.6512602268 16.71 7
901006821401004  309.8981094096  -52.7345826084 17.03 7
901006821404953  310.0629482714  -52.7780228440 17.51 5
901006821406698  310.1362827460  -52.7203433332 16.65 7
901006821501568  310.3317859783  -52.6564675952 17.71 5
901006821702018  311.1776850843  -52.6958287954 16.90 7
901006821703703  311.2452645855  -52.7756890383 16.88 7
901006821804912  311.7252706786  -52.7688068289 17.58 5
901006821903881  312.0629511460  -52.7966911232 16.78 7
901006822000238  312.3357540617  -52.6515678605 17.85 5
901006822002204  312.4217006491  -52.7685718917 17.56 5
901006822107159  313.0077675101  -52.8258551017 17.27 6
901006822303159  313.6957822816  -52.6675701267 16.90 7
901006822407189  314.2682090772  -52.6576133364 16.68 7
901006822601648  314.8460085438  -52.7352262506 17.60 5
901006822603505  314.9170691752  -52.7300963894 17.60 5
901006822604378  314.9543784670  -52.6385907567 17.08 7
901006822608338  315.1007462294  -52.6748669396 17.12 7
901006822802540  315.7225861040  -52.6343325474 17.89 5
901006822802954  315.7398874505  -52.6721690104 16.94 7
901006822903945  316.1994422571  -52.7185184871 17.98 5
901006822908593  316.4067728526  -52.6495519210 17.80 5
901006823002968  316.5808832062  -52.7376744803 16.82 7
901006823003102  316.5866188731  -52.7866507560 17.62 5
901006823005988  316.7282621467  -52.7674112912 16.95 7
901006846407046   52.6165556403  -52.6235252260 17.83 5
901006846510107   53.1575485741  -52.6192186597 17.49 6
901006846611428   53.5846614214  -52.5788387840 16.67 7
901006846803439   54.1391750167  -52.6035474132 17.73 5
901006846803534   54.1427649131  -52.3976665139 17.00 7
901006847002667   54.9228957161  -52.5310302624 16.89 7
901006847107207   55.4937165565  -52.4527214762 17.20 7
901006847606643   57.5313547187  -52.4808815694 17.75 5
901006847800621   58.1147650630  -52.5296909019 16.93 7
901006847802629   58.2082363608  -52.3958873276 17.21 7
901006847803906   58.2720603146  -52.3954664453 17.57 5
901006847806323   58.3856912462  -52.5439952842 17.81 5
901006847906727   58.7791343214  -52.5759273067 16.91 7
901006848004552   59.0974333447  -52.4612394328 17.38 6
901006848005090   59.1190698688  -52.4931644030 17.07 7
901006856002068   91.7319358520  -52.4098127632 17.46 6
901006856003510   91.8001309542  -52.5732491369 17.11 7
901006856006930   91.9626726685  -52.5929445831 17.05 7
901006856103184   92.1972329041  -52.5689245347 17.49 6
901006856103800   92.2247674930  -52.6035050074 17.42 6
901006856303292   93.0378073004  -52.5564306367 17.29 6
901006856306540   93.2024250124  -52.5078232773 16.93 7
901006856400508   93.2925433467  -52.5234802912 17.41 6
901006856405641   93.5828171077  -52.3982203031 17.11 7
901006856501887   93.7768343110  -52.4345680052 17.30 6
901006856505694   93.9904328499  -52.4134366806 16.74 7
901006856507128   94.0829813131  -52.3891217494 17.03 7
901006856603697   94.2721847587  -52.4887092325 17.78 5
901006856607193   94.4305744787  -52.5540595851 17.28 6
901006856706856   94.7667518123  -52.5254870682 16.87 7
901006856805213   95.1666716016  -52.5003757279 17.48 6
901006856807048   95.2897924328  -52.4072212156 17.23 7
901006856900503   95.3401038683  -52.4785441502 16.73 7
901006856903068   95.5546179438  -52.3984950682 16.95 7
901006857100646   96.1917192579  -52.4398894654 17.22 7
901006857100796   96.2065765360  -52.5016436743 17.31 6
901006857102456   96.3536855217  -52.5698516758 17.06 7
901006857103251   96.4063585255  -52.4315369756 17.57 5
901006857104125   96.4801713945  -52.4707167306 16.71 7
901006857201423   96.6261077090  -52.5259328539 17.63 5
901006857202918   96.7232965124  -52.5550920098 17.05 7
901006857203599   96.7706827362  -52.5537733142 17.59 5
901006857204698   96.8505103238  -52.5023402746 17.26 6
901006857404046   97.6300355086  -52.4286916990 17.06 7
901006909103992  309.0134710367  -52.5594958775 17.14 7
901006909205682  309.4770804888  -52.5082157256 16.88 7
901006909207551  309.5481406758  -52.4325503373 16.67 7
901006909210524  309.6646353372  -52.5186728837 17.11 7
901006909309438  310.0585217040  -52.5575682085 17.72 5
901006909507990  310.8570331291  -52.6082953010 16.87 7
901006909508848  310.8939786761  -52.4205347842 17.64 5
901006909602335  310.9961598286  -52.5064043497 16.65 7
901006909704335  311.4988551700  -52.5468781598 17.91 5
901006909704954  311.5249743601  -52.3882599621 16.64 7
901006909901037  312.1790100765  -52.3902556847 16.73 7
901006909904502  312.3297552449  -52.4457850709 16.62 7
901006909905320  312.3646931509  -52.5141417293 17.10 7
901006910001917  312.6241627864  -52.4436964181 17.71 5
901006910005281  312.7660716924  -52.4369373217 16.93 7
901006910007218  312.8437917277  -52.5122209587 17.30 6
901006910008423  312.8897066571  -52.6221143312 17.62 5
901006910108148  313.2719808580  -52.4025731935 16.63 7
901006910109445  313.3277849258  -52.6186169172 17.77 5
901006910202062  313.4564596288  -52.5937024537 17.90 5
901006910202271  313.4648871945  -52.5514944412 16.66 7
901006910204521  313.5543778190  -52.4290843092 17.53 5
901006910303677  313.9098707181  -52.3950802504 17.40 6
901006910404011  314.3396795443  -52.4343314731 17.35 6
901006910500913  314.6273790910  -52.3777945888 17.85 5
901006910609175  315.3637666729  -52.5536611355 17.37 6
901006910610068  315.4017961183  -52.3761524525 17.37 6
901006910706737  315.7008224603  -52.4933009316 17.86 5
901006910909405  316.6332052558  -52.3993416976 16.82 7
901006911000174  316.6422001682  -52.3956030762 16.94 7
901006911001911  316.7194591495  -52.5826036592 17.61 5
901006911100618  317.0722183682  -52.3807435945 17.43 6
901006911100694  317.0754029555  -52.6080238349 16.88 7
901006911102152  317.1403367387  -52.4457741756 17.41 6
901006911102241  317.1439695801  -52.5540834410 17.02 7
901006911106482  317.3186062131  -52.4204197465 17.31 6
901006934602386   52.9075311107  -52.2617878220 16.93 7
901006934608734   53.1268925184  -52.2679821940 16.76 7
901006935003037   54.5595989758  -52.2443447175 17.01 7
901006935103904   55.0246375019  -52.3226460894 17.75 5
901006935301919   55.7473047077  -52.1590633921 17.96 5
901006935308061   56.0177898175  -52.2567371015 17.77 5
901006935403430   56.2111178322  -52.2974977496 17.50 5
901006935505054   56.6862580754  -52.2326878032 17.47 6
901006935606124   57.0986972814  -52.1688337713 17.64 5
901006936005335   58.7473716128  -52.2005697870 16.63 7
901006944301398   92.3017538399  -52.3171934923 17.42 6
901006944305563   92.5027692485  -52.2246353374 16.75 7
901006944306483   92.5440267829  -52.3416244284 16.85 7
901006944400789   92.6699469085  -52.3038673606 17.75 5
901006944405752   92.8984558098  -52.2278823556 17.90 5
901006944500262   93.0572330186  -52.2393102426 16.60 7
901006944500436   93.0678073836  -52.2463613745 17.59 5
901006944504757   93.2865713824  -52.3322434481 17.82 5
901006944600669   93.4837616610  -52.2770057660 16.65 7
901006944604043   93.6609641184  -52.2713035203 16.79 7
901006944702773   93.9880253714  -52.3624122061 16.79 7
901006944706641   94.1568419416  -52.2013790046 16.95 7
901006944707022   94.1714900191  -52.2135902690 17.58 5
901006944709041   94.2577881383  -52.2257551889 16.70 7
901006944805830   94.5303810324  -52.2325824108 17.05 7
901006944806970   94.5875323914  -52.3377693882 16.99 7
901006944901133   94.7249257804  -52.1539045298 17.71 5
901006944907728   95.0547225270  -52.1571055741 17.57 5
901006945002065   95.1759185994  -52.2046344535 16.84 7
901006945005045   95.3153729342  -52.1782806148 16.80 7
901006945106364   95.8051021725  -52.1362003825 17.02 7
901006945205386   96.1791337120  -52.2843344371 17.26 6
901006945402090   96.8246318950  -52.2688997854 17.16 7
901006945403348   96.9159305181  -52.2890788573 17.98 5
901006945405279   97.0470089338  -52.1850652788 17.77 5
901006945502762   97.2882339958  -52.1586819169 17.21 7
901006945503824   97.3461334891  -52.1395760719 16.76 7
901006945505038   97.4180314930  -52.3381293651 16.90 7
901006945601452   97.6022437218  -52.3437739181 17.76 5
901006945603160   97.7034598289  -52.1931618462 17.61 5
901006945603846   97.7528668990  -52.2990331612 17.17 7
901006945604522   97.8022250187  -52.2380999924 17.17 7
901006997508777  308.7417746533  -52.2572235524 17.01 7
901006997604548  308.9722905082  -52.1962429932 17.44 6
901006997605608  309.0167842204  -52.2116250230 17.05 7
901006997606300  309.0473273817  -52.1531095533 17.00 7
901006997700122  309.2102704233  -52.2514541070 17.58 5
901006997700246  309.2154415224  -52.1850535314 17.43 6
901006997702462  309.3038685493  -52.3140099315 17.35 6
901006997707834  309.5163443073  -52.3333491938 17.71 5
901006997805118  309.7981331432  -52.1599557412 17.00 7
901006997806621  309.8599328578  -52.3453521376 16.84 7
901006997807584  309.9015060264  -52.2057624515 17.46 6
901006997808523  309.9443237307  -52.1435957193 17.18 7
901006997809713  309.9974640971  -52.1311049292 17.96 5
901006998010409  310.8270764570  -52.2872885098 16.99 7
901006998104424  310.9958077339  -52.1726628983 16.76 7
901006998202073  311.3225034604  -52.2882362326 16.65 7
901006998401709  312.1177067278  -52.2333109517 17.81 5
901006998405617  312.2848848989  -52.2868337993 17.46 6
901006998502496  312.5706270823  -52.3100950355 16.70 7
901006998507643  312.7964734584  -52.1341509937 17.16 7
901006998600629  312.8915085171  -52.2573391085 17.64 5
901006998600671  312.8930851162  -52.2080424753 17.77 5
901006998606455  313.1443667236  -52.1844176706 17.54 5
901006998608383  313.2272953633  -52.1537118364 17.44 6
901006998701074  313.3156014580  -52.2591954364 16.94 7
901006998701562  313.3344474481  -52.1558762902 17.51 5
901006998800509  313.6952623136  -52.2349170869 17.50 5
901006998802246  313.7671901295  -52.3057425812 16.66 7
901006998805519  313.8920880950  -52.2813182832 16.71 7
901006998808080  314.0008138015  -52.1997797131 17.05 7
901006998901316  314.1364742301  -52.1615226810 17.48 6
901006998902676  314.1968853874  -52.3154320737 16.65 7
901006998903103  314.2162921939  -52.1904239799 17.30 6
901006999105365  315.1082842873  -52.2573488204 17.10 7
901006999202625  315.4155217786  -52.1595918491 16.97 7
901006999303761  315.8608862861  -52.3483938448 17.35 6
901006999307840  316.0298972883  -52.3747103381 16.98 7
901006999502083  316.6082275707  -52.3383613239 17.53 5
901006999505460  316.7373538326  -52.2107500422 17.51 5
901007023300397   52.9989653266  -52.1228919739 17.00 7
901007023301520   53.0505500385  -51.9962513125 17.11 7
901007023400388   53.4055639727  -52.0169051614 17.32 6
901007023403962   53.5458059840  -51.9968377746 17.02 7
901007023407590   53.6884282538  -52.0592284940 16.95 7
901007023608779   54.5414609791  -52.0768796121 16.99 7
901007023704191   54.7781053601  -52.0630839168 16.76 7
901007023709201   54.9965552361  -52.0002332892 16.93 7
901007023904564   55.6074615622  -51.9156799361 17.29 6
901007024003084   55.9347793007  -51.9275384648 17.30 6
901007024006631   56.0861859042  -51.9047113585 17.51 5
901007024403285   57.5761536736  -51.9299143410 17.34 6
901007024403928   57.6044495289  -52.0214904272 17.27 6
901007024408100   57.7777344176  -52.0987535287 17.52 5
901007024606757   58.5265584901  -52.0355855297 17.35 6
901007032906751   92.0941442813  -51.9686019922 17.24 7
901007033003662   92.3712734744  -51.8928462904 17.73 5
901007033008711   92.5915808761  -52.0614151031 16.79 7
901007033204004   93.2071327330  -52.0832836764 16.97 7
901007033301540   93.5156959136  -51.9040639599 17.25 7
901007033403415   94.0029999226  -52.0768225748 17.50 6
901007033500359   94.2588231133  -51.9266552339 17.83 5
901007033506975   94.5108199768  -51.8778837239 17.65 5
901007033600465   94.6679122206  -52.0737225954 16.86 7
901007033704722   95.3016509155  -51.9158319223 17.64 5
901007033706804   95.3851134922  -51.9355636531 16.94 7
901007033707293   95.4033128908  -51.9166807128 16.83 7
901007033805792   95.7190321665  -51.9884439690 17.46 6
901007033809400   95.8627081522  -51.9819628630 17.40 6
901007033903780   95.9823393583  -52.1020614193 17.06 7
901007033906579   96.0753580687  -52.1244219232 17.73 5
901007033908878   96.1613862348  -52.1194254813 17.09 7
901007034005878   96.5533645350  -52.0752432159 16.73 7
901007034007583   96.6557474096  -51.9015206480 17.35 6
901007034104757   96.9565830810  -52.0933118440 16.84 7
901007034200611   97.1137817197  -52.1044551891 16.67 7
901007034203006   97.2561703625  -51.8812584892 16.75 7
901007034205979   97.4281519296  -51.9788621308 16.85 7
901007034300403   97.5122439202  -52.0441319338 16.72 7
901007034304228   97.7680506371  -51.8789280638 16.67 7
901007034403291   98.1178654755  -51.8963807096 16.74 7
901007086506217  308.8590895664  -52.0217996455 17.75 5
901007086600108  309.0343931237  -51.8769822829 17.81 5
901007086600316  309.0429140149  -52.0792801711 17.76 5
901007086601330  309.0803913430  -51.8856806893 17.14 7
901007086608013  309.3279491105  -51.9869819167 17.12 7
901007086608029  309.3284173445  -51.9112554886 17.69 5
901007086608062  309.3297629341  -52.1075921165 17.20 7
901007086608654  309.3529766022  -51.9387307506 17.06 7
901007086705098  309.6223124714  -52.1026916035 17.59 5
901007086710486  309.8367404608  -51.9664500557 17.41 6
901007086800937  309.8717195620  -51.8812965680 17.93 5
901007086802155  309.9210531413  -52.0690925183 16.79 7
901007086803739  309.9798068385  -52.0435038666 16.96 7
901007086906129  310.4955537575  -51.8934881587 17.75 5
901007087005267  310.8509254900  -52.1130443925 16.89 7
901007087104449  311.2215165163  -51.9986223244 16.65 7
901007087109425  311.4167390068  -52.0983805772 17.07 7
901007087109855  311.4381506198  -51.9611631947 17.22 7
901007087303615  312.0102935778  -52.0291862703 17.82 5
901007087403034  312.4007266872  -52.0047274232 17.04 7
901007087405074  312.4844048831  -52.0793396214 17.25 6
901007087502796  312.7929443866  -52.0312739136 17.58 5
901007087504542  312.8707315343  -52.0157293200 17.54 5
901007087508877  313.0616289960  -52.0339398899 17.33 6
901007087604352  313.2457932303  -51.8990085046 16.99 7
901007087607080  313.3626402120  -52.0332448908 16.85 7
901007087701395  313.5397527740  -51.9028762954 17.85 5
901007087703447  313.6269629063  -51.9393487813 16.69 7
901007087705458  313.7090489431  -52.0553298345 17.85 5
901007087708921  313.8457952341  -51.9077913778 17.36 6
901007087709927  313.8854517107  -52.1083021174 17.01 7
901007087802138  313.9711751959  -51.9175164357 17.12 7
901007087802147  313.9715908770  -51.9271335786 17.26 6
901007087808288  314.2188021872  -51.9707555369 17.88 5
901007087808391  314.2231691431  -52.1195011432 17.43 6
901007087905561  314.5182234324  -51.9426242981 16.92 7
901007087906392  314.5544561522  -51.9524484164 16.96 7
901007087907085  314.5844235697  -52.0412861163 17.53 5
901007087907445  314.6006488096  -52.0009062067 17.07 7
901007088006023  314.9527319764  -51.8871032835 17.13 7
901007088100580  315.1252662238  -52.0432533128 17.48 6
901007088204131  315.7028791927  -51.9356026917 16.81 7
901007088206334  315.8001892961  -51.8810057290 17.86 5
901007088300262  315.9171647384  -51.9831280415 16.93 7
901007088304563  316.1013829577  -52.0276193873 17.90 5
901007088401103  316.3571560966  -52.0557496025 17.18 7
901007088402160  316.4052505774  -52.0076048021 17.38 6
901007112800629   54.7923417284  -51.6774242605 17.61 5
901007112804526   54.9898042921  -51.7165995128 17.57 5
901007112908683   55.5627397473  -51.6957817961 16.79 7
901007113104993   56.1890074532  -51.6441249968 17.15 7
901007113206603   56.7431109640  -51.8313517197 17.35 6
901007113303824   56.9676397830  -51.8187760574 17.63 5
901007113408208   57.5027071880  -51.6892272774 17.52 5
901007113503188   57.7147398752  -51.8734229673 16.76 7
901007113600235   57.9928677856  -51.7407623047 16.94 7
901007122104089   92.3963852971  -51.6536609235 16.76 7
901007122106928   92.5271284397  -51.6893983996 17.71 5
901007122200858   92.6511183285  -51.7542857197 17.21 7
901007122201080   92.6612610166  -51.8336237889 17.87 5
901007122202283   92.7141425708  -51.7469354377 17.72 5
901007122300348   93.0298379855  -51.7191121518 16.93 7
901007122305229   93.2213511752  -51.6769636834 17.18 7
901007122401724   93.4834374990  -51.7138032459 16.96 7
901007122405468   93.6517419070  -51.6344285250 16.86 7
901007122405872   93.6693183680  -51.7056938878 16.75 7
901007122507696   94.2147196817  -51.8250702296 17.13 7
901007122700580   94.6539522995  -51.7843624597 17.61 5
901007122705209   94.8771544815  -51.6992393954 17.66 5
901007122905876   95.6755626044  -51.6634845669 16.62 7
901007122907291   95.7305370392  -51.6337654790 17.35 6
901007123001703   95.9114281636  -51.6396156459 17.06 7
901007123200574   96.6730497521  -51.7927288967 16.88 7
901007123206569   96.9987531713  -51.7679294003 17.04 7
901007123206803   97.0121387567  -51.7854283296 16.86 7
901007123300456   97.0716650779  -51.7074547326 17.61 5
901007123304424   97.2948638140  -51.7496573045 16.62 7
901007123305679   97.3633636088  -51.6567354517 17.83 5
901007123400388   97.4705648554  -51.7351056235 16.98 7
901007123401106   97.5228733058  -51.8064988032 16.80 7
901007123402736   97.6516471657  -51.8712360803 18.00 5
901007176005421  309.4490001859  -51.7450615097 17.19 7
901007176005584  309.4537321072  -51.8450961964 16.93 7
901007176105385  309.8754131541  -51.8049415935 17.35 6
901007176209254  310.4221419905  -51.8412819478 17.41 6
901007176305712  310.6972922786  -51.7779331346 17.93 5
901007176402204  310.9647193745  -51.7774466096 16.64 7
901007176600192  311.6831589948  -51.7697473948 17.40 6
901007176602133  311.7618795882  -51.8239517315 17.50 5
901007176602257  311.7670023027  -51.8327258947 17.97 5
901007176605564  311.9013050033  -51.6680775369 17.06 7
901007176700935  312.1163756306  -51.7437459322 16.86 7
901007176706556  312.3598515605  -51.8274196007 17.49 6
901007176802716  312.5959774317  -51.6518379630 17.72 5
901007176904110  313.0432297284  -51.7860861142 16.85 7
901007177005268  313.5059237974  -51.8021362412 16.95 7
901007177009252  313.6852616618  -51.7714729458 17.42 6
901007177103592  313.8663821604  -51.6835456403 16.76 7
901007177107837  314.0732841561  -51.6428770736 17.97 5
901007177205518  314.3606847338  -51.6689730483 17.87 5
901007177208188  314.4898356594  -51.6390476056 17.70 5
901007177303267  314.6443841756  -51.7109341940 17.10 7
901007177307651  314.8540208249  -51.8288373911 17.21 7
901007177401058  314.9499736747  -51.7681369106 17.94 5
901007177406122  315.1977069070  -51.8544579484 17.03 7
901007177505212  315.5464041741  -51.7084316090 16.88 7
901007177506765  315.6129621779  -51.6704951627 16.90 7
901007177602172  315.7938074034  -51.7756673259 17.37 6
901007177603302  315.8400502463  -51.7740446737 17.24 7
901007177603977  315.8676839129  -51.7968306972 17.65 5
901007177708667  316.4699152159  -51.8329227744 17.31 6
901007177805805  316.7331367508  -51.7832565452 17.45 6
901007202502293   55.6966409839  -51.6009699357 17.40 6
901007202508403   55.9697725186  -51.5423237992 17.11 7
901007202607224   56.3320636933  -51.4063721791 17.74 5
901007202800724   56.8341368244  -51.3955346976 16.61 7
901007202800943   56.8439077445  -51.5663150514 17.80 5
901007202804086   57.0048576118  -51.5588627848 17.12 7
901007202804411   57.0184259327  -51.5998117833 16.73 7
901007211706837   92.6673014069  -51.4899968976 17.22 7
901007211708317   92.7298470440  -51.5581021820 16.84 7
901007211709786   92.7912206290  -51.5203480266 17.03 7
901007211801665   92.8666642741  -51.5215591333 17.09 7
901007211802272   92.8916647329  -51.4062171309 17.29 6
901007211804826   92.9921712719  -51.5600925628 16.75 7
901007211809284   93.1717449355  -51.5647187216 16.79 7
901007211900552   93.2152836914  -51.3798777474 17.70 5
901007211901972   93.2694080748  -51.5936796219 17.63 5
901007211903946   93.3461593386  -51.5154749496 16.87 7
901007211910061   93.5677626038  -51.4851780854 17.03 7
901007212006039   93.8607576741  -51.6039392416 17.87 5
901007212102304   94.1022522668  -51.5376114459 17.12 7
901007212102792   94.1277757637  -51.4359419007 16.64 7
