ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901004301503995   63.3780282151  -60.5852269712 17.30 6
901004301604721   63.9083445384  -60.4582863070 17.65 5
901004302003124   65.8818574666  -60.4813688235 17.06 7
901004302104551   66.4347302963  -60.4801870346 17.27 6
901004302111271   66.7389923126  -60.6218840755 16.88 7
901004302300268   67.2542886055  -60.4656762495 17.75 5
901004302304371   67.4390153863  -60.4918507191 17.96 5
901004302306075   67.5068697317  -60.4892823908 17.78 5
901004302503759   68.4598111299  -60.4353882984 17.13 7
901004302504619   68.5015376331  -60.6141913851 17.55 5
901004302901996   70.3557350345  -60.4333966229 17.57 5
901004303002507   70.8908949549  -60.5786373084 17.27 6
901004303010507   71.2566632605  -60.5612051324 17.15 7
901004303100499   71.3115705917  -60.5747946714 17.10 7
901004303104357   71.4827501807  -60.4100784115 16.71 7
901004303111004   71.7737024281  -60.4053329738 16.66 7
901004303205461   72.0252939871  -60.3886420408 17.08 7
901004303209513   72.2031392304  -60.4410404856 17.53 5
901004372706785   62.9892857495  -60.2174741392 17.00 7
901004372710231   63.1506468221  -60.2367271294 17.38 6
901004373200281   65.1906513079  -60.1322950551 16.74 7
901004373200388   65.1953388863  -60.2657832627 17.48 6
901004373302818   65.8138832868  -60.1261722089 17.43 6
901004373306693   65.9884685341  -60.3410444889 16.62 7
901004373407479   66.5193555848  -60.1415215804 16.72 7
901004373502052   66.7838495548  -60.2104624878 17.33 6
901004373502668   66.8131024216  -60.1343193756 17.55 5
901004373609079   67.5386910608  -60.2064479738 16.76 7
901004373811040   68.6565709998  -60.1989522443 17.88 5
901004374003875   69.3439875827  -60.3605269567 17.06 7
901004374200309   70.2056652466  -60.2207185582 17.10 7
901004374201532   70.2604963023  -60.2192317245 17.47 6
901004374302766   70.8172216684  -60.1730761655 17.19 7
901004374303746   70.8618068991  -60.3210050211 17.16 7
901004374304901   70.9136672147  -60.2838657834 17.69 5
901004374605410   72.4019262035  -60.2186835299 17.10 7
901004374609172   72.5548956394  -60.1857643602 17.70 5
901004444705281   63.4011805051  -60.0345571411 17.90 5
901004444800399   63.6582704142  -60.0618020168 17.42 6
901004444801108   63.6924860947  -60.0802807825 16.92 7
901004444806955   64.0106672004  -60.0415645226 16.94 7
901004445005672   64.9385139040  -60.1179321654 17.74 5
901004445106377   65.4297678353  -60.1164652761 16.86 7
901004445201819   65.7148515431  -59.8969178954 17.99 5
901004445203180   65.7774152626  -60.0124438939 17.53 5
901004445307892   66.4980823023  -59.8970600797 17.18 7
901004445308840   66.5402542591  -60.0617590460 17.99 5
901004445500166   67.1307082915  -59.8836885592 17.17 7
901004445605473   67.8744765629  -59.9145453148 16.92 7
901004445703760   68.2741116369  -60.0751387495 16.98 7
901004445705592   68.3546845855  -60.0411635430 17.20 7
901004445802688   68.7342999426  -60.0352323817 17.92 5
901004445807070   68.9223692647  -59.9646809518 16.74 7
901004445810978   69.0828894249  -60.0479049925 17.31 6
901004446004822   69.8007476700  -60.0585341521 17.93 5
901004446106569   70.3765461398  -60.0657754031 17.31 6
901004517301314   63.6920175372  -59.7475326617 17.58 5
901004517400064   64.1097573622  -59.6800274737 16.82 7
901004517408383   64.5246481868  -59.7229673629 17.81 5
901004517409700   64.5885139523  -59.7255107030 17.39 6
901004517706927   65.9592148877  -59.7598837564 17.23 7
901004517810069   66.5476436756  -59.7810892759 17.17 7
901004517911120   67.0668529116  -59.8259325980 17.96 5
901004518101191   67.6116317285  -59.7691622256 17.87 5
901004518105933   67.8283830811  -59.7826974577 16.95 7
901004518302983   68.6789020650  -59.7151213766 16.87 7
901004518306970   68.8563609432  -59.8730925821 17.67 5
901004518407515   69.3703107237  -59.6641864128 16.93 7
901004518502119   69.6241602676  -59.8271535207 16.88 7
901004518607115   70.3576693133  -59.8443894734 17.20 7
901004518907904   71.8689392745  -59.7223860668 17.03 7
901004565700294  302.3237971776  -59.6626858310 16.89 7
901004590407670   64.1735459669  -59.4710120935 16.69 7
901004590601286   64.8108282593  -59.4163596998 17.48 6
901004590707858   65.6273277747  -59.4767215059 16.89 7
901004590709318   65.6942232325  -59.5577412796 17.82 5
901004590806209   65.9931626515  -59.6020873290 17.78 5
901004590809066   66.1353010441  -59.4515938550 17.03 7
901004591003848   66.8787507145  -59.4466709419 17.99 5
901004591009040   67.1249149273  -59.3837056079 16.72 7
901004591010433   67.1838031623  -59.4192059089 17.64 5
901004591101701   67.2640623947  -59.5716022330 17.06 7
901004591105079   67.4070436245  -59.5005459119 16.96 7
901004591110460   67.6397472815  -59.5573128859 16.92 7
901004591507081   69.4550522075  -59.5861456293 16.65 7
901004591600270   69.6533941618  -59.3808562984 17.94 5
901004591806613   70.9076544381  -59.5561108199 17.05 7
901004592001950   71.6957526956  -59.4673492919 16.88 7
901004638801828  301.2783835977  -59.4156448352 16.66 7
901004638802793  301.3494182051  -59.4324672070 16.66 7
901004639001630  302.2024372771  -59.5316261115 17.39 6
901004639003501  302.2967714136  -59.5767923797 17.57 5
901004639105605  302.8942758375  -59.6041522002 17.58 5
901004639109163  303.0850742659  -59.5623272843 17.39 6
901004639202321  303.2077143741  -59.5668040956 17.59 5
901004639305748  303.9047722463  -59.5033649817 16.76 7
901004639404207  304.2761674199  -59.3762814404 17.17 7
901004639406454  304.3904653862  -59.3847225025 17.56 5
901004639406530  304.3946872349  -59.5626697848 17.30 6
901004639505305  304.8201578006  -59.4374076896 17.12 7
901004639606703  305.3815652952  -59.3763579954 17.57 5
901004664004401   64.4115096410  -59.3100655950 17.28 6
901004664502480   66.7542526315  -59.3120192667 17.52 5
901004664504059   66.8216347461  -59.2901271639 17.38 6
901004664504407   66.8359821256  -59.3227587619 16.88 7
901004664807679   68.3749923429  -59.1616016497 16.86 7
901004665211182   70.5337622571  -59.1363470368 16.77 7
901004665407338   71.3375036129  -59.3028473202 17.73 5
901004712704727  301.4219523597  -59.2072148639 17.73 5
901004712803760  301.8160536248  -59.2089952107 17.29 6
901004712903707  302.2863034551  -59.1439971203 17.53 5
901004712905234  302.3600728995  -59.3164808421 17.71 5
901004713000643  302.6166069752  -59.1937221063 17.01 7
901004713009089  302.9889168328  -59.2745041611 17.05 7
901004713102266  303.1877049897  -59.2185324886 16.66 7
901004713103788  303.2556518222  -59.2176084545 17.81 5
901004713105124  303.3263967272  -59.3111227678 17.27 6
901004713301772  304.1319055761  -59.1696150509 17.97 5
901004713308536  304.4171765069  -59.1637985857 17.33 6
901004713310094  304.4817165453  -59.1878114756 16.77 7
901004713401267  304.5856520062  -59.3632020177 16.91 7
901004713503031  305.1526208089  -59.3327745229 16.75 7
901004713510724  305.5095952154  -59.2306858046 17.73 5
901004713602755  305.6329174629  -59.1372605012 17.08 7
901004713702371  306.0990761130  -59.1633907490 16.71 7
901004738400195   65.6358886254  -59.1228015764 17.83 5
901004738508934   66.5447022996  -58.9054130954 16.84 7
901004738605384   66.8394367680  -58.9451298474 17.15 7
901004738606667   66.8965033246  -59.0328321053 17.21 7
901004738700604   67.1016931660  -58.8998306005 17.90 5
901004739105192   69.1684330175  -58.9589970796 16.78 7
901004739201451   69.5557458369  -59.0419091825 17.12 7
901004739300949   70.0112436002  -58.8831288833 16.94 7
901004739410373   70.9047993335  -59.1071542637 16.86 7
901004787003127  300.4252862148  -58.9405458101 17.12 7
901004787100878  300.7004182159  -59.0283327134 17.30 6
901004787101025  300.7116785666  -59.0118692953 17.28 6
901004787106454  301.0277125145  -59.0265417391 17.06 7
901004787106902  301.0528116628  -59.0689788922 16.75 7
901004787107785  301.1034021110  -59.0985971578 17.96 5
901004787201226  301.1864747297  -59.0262238828 17.26 6
901004787201548  301.2023841985  -58.9164627136 17.07 7
901004787204748  301.3625129954  -59.0225413843 16.68 7
901004787207905  301.5262775240  -58.9373277026 16.61 7
901004787302982  301.7496569359  -59.0312169393 17.91 5
901004787306779  301.9355510882  -58.9016106425 17.33 6
901004787306805  301.9373468611  -59.1179189088 16.70 7
901004787408780  302.5049132488  -59.1245932039 17.84 5
901004787507289  302.9412448827  -59.0616137053 17.96 5
901004787507428  302.9486978281  -58.9248766920 17.09 7
901004787508437  302.9986990400  -58.9473921643 17.89 5
901004787600494  303.0767291141  -58.9631032972 16.90 7
901004787600658  303.0848155060  -58.9090748163 17.09 7
901004787607424  303.4037229464  -58.8754089898 17.83 5
901004787608375  303.4541090562  -58.8886061896 17.54 5
901004787707951  303.8932652454  -58.9860892438 16.81 7
901004787803941  304.1861928268  -58.8786379123 17.13 7
901004787900275  304.5108204684  -58.9188213038 16.85 7
901004787900954  304.5393592018  -59.0878562852 16.75 7
901004787901451  304.5613749905  -58.9887738075 16.86 7
901004788006088  305.2615985292  -58.9698490852 17.47 6
901004788007468  305.3261724063  -58.9857874450 17.29 6
901004788008204  305.3612406850  -59.0268152114 17.66 5
901004788105294  305.6983945907  -59.1121670722 17.79 5
901004788109305  305.8736804250  -58.9226122469 17.01 7
901004788206821  306.2362969215  -58.8798855065 17.06 7
901004813504386   67.8900627674  -58.6936876977 16.79 7
901004813505212   67.9391039580  -58.7723967950 17.42 6
901004813505334   67.9464079634  -58.7462636289 17.52 5
901004813508902   68.1306974655  -58.8132024468 17.64 5
901004813804649   69.3661518985  -58.8110481859 16.85 7
901004861805709  299.8697095547  -58.8056797128 17.30 6
901004861901994  300.1207398985  -58.6654924166 17.49 6
901004861903957  300.2378654370  -58.7412433582 17.73 5
901004861905782  300.3568590510  -58.7443774591 17.31 6
901004861907416  300.4643130364  -58.8315348795 17.35 6
901004862002202  300.6098801973  -58.6797585007 17.48 6
901004862002808  300.6494513435  -58.6329133719 17.24 7
901004862005308  300.7993357409  -58.8607438121 17.55 5
901004862105320  301.2518747796  -58.8094519603 16.85 7
901004862306738  302.2154535554  -58.8213194201 16.88 7
901004862308953  302.3113947041  -58.8583985609 17.39 6
