ROWID  RA DEC PSFMAG_R
901006944903591   94.8389876323  -52.1989578907 14.34
901006944904368   94.8748499627  -52.2048503353 14.22
901006944904420   94.8772032653  -52.1581971611 14.23
901006944905536   94.9344682483  -52.1761277976 13.45
901006944906289   94.9783573750  -52.2114641177 13.56
901006944906727   95.0045889293  -52.1363495094 13.89
901006945001701   95.1589774441  -52.1854851407 13.63
901006945003215   95.2288304535  -52.2855287826 13.92
901006945004944   95.3103741387  -52.1687348132 14.01
901006945005864   95.3526069044  -52.2740492574 14.02
901006945006225   95.3700469382  -52.3069401115 13.44
901006945007216   95.4077907594  -52.2423515435 13.84
901006945102032   95.5849631846  -52.1922568111 14.17
901006945103355   95.6505755156  -52.1887016436 14.28
901006945103444   95.6550671944  -52.2226798734 13.99
901006945103634   95.6640840337  -52.2061898400 13.93
901006945105253   95.7452620115  -52.2511623537 13.88
901006945106787   95.8300408174  -52.3233615128 14.17
901006945107909   95.8907027596  -52.1478172929 13.62
901006945202152   95.9903504385  -52.1417622508 14.43
901006945204551   96.1234571872  -52.1843308170 14.40
901006945206741   96.2647975622  -52.2696746079 14.38
901006945300260   96.3087198629  -52.1452525628 13.62
901006945302705   96.4913506923  -52.3384630084 14.33
901006945303111   96.5131032803  -52.2059548733 13.96
901006945305071   96.6280322844  -52.2354868352 14.02
901006945400845   96.7534998961  -52.1661476991 13.74
901006945401567   96.7940509925  -52.3053346276 14.25
901006945401920   96.8137234465  -52.1766799463 13.45
901006945402308   96.8386433335  -52.1807240930 13.57
901006945403175   96.9022700846  -52.1558863525 13.66
901006945404089   96.9655353902  -52.2911349491 13.96
901006945404162   96.9719698521  -52.1950939487 14.08
901006945404377   96.9851925986  -52.2478318714 14.27
901006945404894   97.0224936553  -52.2558770197 14.36
901006945405442   97.0563356369  -52.1402167961 14.25
901006945405598   97.0671724985  -52.1974710622 13.91
901006945405612   97.0680824116  -52.3737907721 13.86
901006945406099   97.0938523127  -52.3163921072 14.07
901006945406119   97.0946933709  -52.2101200710 13.93
901006945500805   97.1620380798  -52.2675830000 13.56
901006945501685   97.2180557511  -52.3543263129 13.83
901006945501788   97.2240340990  -52.3032895325 13.71
901006945505829   97.4613172810  -52.3144496255 13.54
901006945601748   97.6188304043  -52.2184323361 13.97
901006945602564   97.6655855656  -52.3639858559 14.35
901006945602998   97.6930446062  -52.1937453648 13.68
901006945604265   97.7834268565  -52.2714863384 13.69
901006945606328   97.9180778568  -52.1275067742 13.47
901006997510041  308.7919662608  -52.1825516831 13.46
901006997602604  308.8948951783  -52.2020915415 14.04
901006997604118  308.9560003345  -52.1606661751 14.40
901006997606269  309.0458438238  -52.1330521728 13.68
901006997608504  309.1384113626  -52.2822280032 14.11
901006997700438  309.2217612548  -52.3130064831 14.30
901006997702943  309.3231686423  -52.3594847291 14.14
901006997706069  309.4502508372  -52.2892199063 14.21
901006997708845  309.5544900912  -52.1653429780 14.16
901006997709166  309.5663603396  -52.1470118742 13.42
901006997709446  309.5778382407  -52.3080556374 13.47
901006997801278  309.6558099097  -52.1447014065 13.87
901006997803273  309.7314390232  -52.1672008495 13.60
901006997806302  309.8461091928  -52.3448091678 13.99
901006997807280  309.8869672065  -52.2532393525 13.40
901006997809630  309.9933682650  -52.1469242214 13.69
901006997900449  310.0377977913  -52.3091997549 14.04
901006997904841  310.2219840652  -52.1786541499 14.07
901006997905230  310.2389948788  -52.2697057619 14.26
901006997905633  310.2560207749  -52.1625744455 13.86
901006997907146  310.3194326516  -52.3711471731 13.84
901006998002063  310.5075024250  -52.3612568257 14.08
901006998104753  311.0081988798  -52.1641540901 13.76
901006998106217  311.0634296447  -52.2591250200 14.51
901006998106223  311.0638394652  -52.3069370129 14.21
901006998201170  311.2853752909  -52.1888165907 13.72
901006998202119  311.3242080204  -52.1288902342 14.17
901006998203637  311.3852247056  -52.1656150408 13.50
901006998302816  311.7534379903  -52.1930714575 13.84
901006998310170  312.0295271719  -52.2639597475 14.27
901006998310715  312.0512817442  -52.1315410340 13.83
901006998400208  312.0583019603  -52.1906211660 13.96
901006998403140  312.1798939777  -52.2686190165 14.14
901006998403251  312.1849570289  -52.1282753951 13.95
901006998404662  312.2421553860  -52.3250336866 13.97
901006998407709  312.3744961584  -52.2693098388 14.29
901006998408087  312.3914854057  -52.3251054430 13.88
901006998409013  312.4354645307  -52.3528823323 14.16
901006998409474  312.4573194337  -52.3102906038 13.48
901006998502156  312.5554960454  -52.2987039418 13.94
901006998502477  312.5700534248  -52.2229347644 13.69
901006998601357  312.9240453484  -52.3379850063 14.25
901006998603757  313.0314074941  -52.2332759393 13.67
901006998607171  313.1730480882  -52.3529503224 13.65
901006998607670  313.1967325171  -52.1701095344 14.30
901006998700405  313.2860988194  -52.1781089658 13.76
901006998701556  313.3341390743  -52.2888903018 13.97
901006998703328  313.4116053429  -52.3027713716 14.34
901006998703419  313.4157682169  -52.2426704290 13.45
901006998804526  313.8531774115  -52.2994173161 13.86
901006998804986  313.8706529953  -52.3288592645 14.11
901006998807400  313.9705627957  -52.1891427070 13.65
901006998901160  314.1296250453  -52.2528277670 14.25
901006998902926  314.2089125453  -52.2227128512 13.57
901006998906145  314.3398677962  -52.2197843284 13.51
901006999000394  314.5063900067  -52.3535747549 13.80
901006999001093  314.5354227897  -52.2220360221 14.11
901006999002066  314.5757935163  -52.2098584487 13.67
901006999003659  314.6445032507  -52.2045454000 13.82
901006999003743  314.6480314128  -52.3490708416 13.88
901006999003988  314.6608901865  -52.3536065930 13.70
901006999005103  314.7139913828  -52.3583407386 13.61
901006999009272  314.8839589627  -52.1730734571 13.52
901006999103213  315.0222917555  -52.2481117648 14.27
901006999105330  315.1073505734  -52.2365960438 13.84
901006999105448  315.1117915225  -52.1278954802 14.12
901006999105861  315.1289441667  -52.2583955350 14.34
901006999105878  315.1295879305  -52.1783988512 13.49
901006999106516  315.1544414355  -52.1635677955 14.06
901006999108309  315.2318466629  -52.2305097023 14.30
901006999202479  315.4085501827  -52.2706639129 14.41
901006999202645  315.4163303695  -52.1880944324 13.98
901006999204430  315.4930390218  -52.3383730732 13.49
901006999206165  315.5569550699  -52.2977987954 13.64
901006999206919  315.5854150500  -52.3325842083 13.62
901006999300824  315.7407610142  -52.2529009761 13.56
901006999303069  315.8309673284  -52.2353315650 13.91
901006999309056  316.0797889429  -52.2598822829 13.99
901006999401772  316.1825739121  -52.3128328286 13.91
901006999407085  316.4292995786  -52.3716078262 13.68
901006999408762  316.5003552623  -52.3536068314 14.28
901006999502190  316.6124702933  -52.2232530351 13.76
901006999507390  316.8162545031  -52.1602656163 14.36
901006999604658  317.1159383798  -52.1767349490 13.67
901007023306627   53.2405857904  -52.1145060836 13.81
901007023308966   53.3282927151  -51.9943767311 14.03
901007023407002   53.6665619218  -51.9585905112 13.86
901007023506417   54.0390757989  -51.8999935252 14.04
901007023604579   54.3651219724  -51.9448582922 13.83
901007023605304   54.3932603556  -51.9800620971 13.83
901007023607828   54.5047475217  -52.0753840945 13.95
901007023701388   54.6598962401  -51.8903777684 14.07
901007023704649   54.8001701252  -51.9889371993 13.71
901007023705759   54.8507065075  -51.9049451819 13.76
901007023705861   54.8557624188  -51.9067116700 13.82
901007023706679   54.8912722584  -52.0886580284 14.30
901007023802550   55.1149642529  -51.8845807517 13.88
901007023802924   55.1302613794  -51.9509393856 14.22
901007023807812   55.3328681758  -52.0211861804 14.09
901007023906291   55.6811218948  -51.9092593932 13.58
901007024003064   55.9341233776  -51.9379818299 13.84
901007024005908   56.0546689774  -52.1062906105 14.30
901007024008961   56.1987000995  -51.8996173622 14.30
901007024103905   56.4221902843  -52.0559092799 14.02
901007024104978   56.4743022200  -51.9953210442 14.15
901007024107007   56.5704334785  -51.9458345807 13.48
901007024202886   56.7618070810  -52.0882575402 13.57
901007024302617   57.1235958389  -52.0053451765 13.83
901007024303191   57.1460121918  -52.0720467314 14.14
901007024303826   57.1694678010  -51.8812184074 14.33
901007024307748   57.3387957212  -51.8974464663 14.25
901007024308259   57.3601846263  -52.0720368303 13.87
901007024402340   57.5336215817  -52.0156614658 13.92
901007024404903   57.6428495681  -52.1130058036 13.88
901007024405835   57.6840557025  -51.9923368041 14.17
901007024407163   57.7377238842  -51.9439336295 13.87
901007024408561   57.7976808815  -51.9143923398 14.10
901007024409561   57.8390423250  -51.9153287503 14.00
901007024501279   57.8914137605  -51.9871443969 13.54
901007032901836   91.8893187176  -52.0351337450 13.66
901007032903891   91.9731990238  -52.0155270154 14.10
901007032907131   92.1111877898  -52.0181625035 13.76
901007032909705   92.2201976778  -51.9937205784 14.22
901007032909711   92.2205017113  -51.9322483794 13.97
901007033001247   92.2696712529  -52.1144684390 13.99
901007033004916   92.4256312228  -52.1046330579 13.80
901007033005578   92.4548622201  -51.9248192424 14.08
901007033005802   92.4651963944  -52.1033735017 14.38
901007033100476   92.6422458790  -52.0435993267 13.70
901007033101309   92.6768574424  -51.9102569752 13.78
901007033102289   92.7121460199  -51.9891756587 13.85
901007033103997   92.7815275340  -52.0116234942 14.24
901007033105081   92.8249618957  -51.9707534838 14.25
901007033105212   92.8300206837  -52.1073393204 13.90
901007033107127   92.9048374725  -51.9024569873 13.44
901007033108699   92.9707789650  -51.8948589847 13.60
901007033108872   92.9783017500  -51.9174256112 13.77
901007033200626   93.0566872700  -52.0376899694 13.59
901007033203159   93.1703181706  -52.1121235241 13.77
901007033203296   93.1771481069  -52.0344393817 14.36
901007033203464   93.1840390570  -51.9326752430 13.56
901007033206887   93.3328459722  -52.0668345353 13.47
901007033208511   93.4173583785  -52.0335130242 13.86
901007033301767   93.5275527093  -51.9393872570 14.25
901007033304889   93.6898098078  -51.8786297995 13.46
901007033306101   93.7494146916  -52.0957358256 13.51
901007033306104   93.7497143222  -51.9505973726 14.15
901007033306963   93.7996235917  -52.1235256188 14.32
901007033401562   93.9155464327  -51.9963913095 13.71
901007033401649   93.9204260386  -52.1109908875 14.30
901007033402478   93.9608341981  -52.0221099074 14.05
901007033403396   94.0020302554  -51.9181028704 14.34
901007033503627   94.3863315931  -51.9736619797 14.02
901007033504820   94.4319200597  -52.0634405869 13.51
901007033508070   94.5547320625  -51.8787575750 13.69
901007033603260   94.7994112421  -52.0780093836 13.71
901007033603373   94.8049816516  -51.9400261189 13.93
901007033604771   94.8662305352  -51.9234552058 14.09
901007033605490   94.9030919479  -51.9839861749 14.04
901007033605837   94.9205165465  -51.9647472929 13.94
901007033606795   94.9677847842  -52.0058230017 13.60
901007033607269   94.9883746099  -51.8808936698 14.24
901007033607998   95.0211586675  -51.8979186682 13.66
901007033700247   95.0604104215  -51.9173271264 14.27
901007033700847   95.0951420034  -52.0713689830 14.27
901007033705981   95.3446946086  -51.9008821125 14.24
901007033706422   95.3656780276  -52.0953582544 14.35
901007033706953   95.3909070676  -52.0382589159 14.02
901007033800409   95.4752151714  -52.0651714748 13.72
901007033800933   95.4986959297  -51.8987711150 13.49
901007033801015   95.5028043973  -51.9590283770 14.22
901007033801667   95.5369335487  -51.9559055305 14.05
901007033802175   95.5618853021  -52.1112486650 14.05
901007033804534   95.6650525028  -52.1065531653 13.45
901007033805878   95.7230338826  -52.0997102487 14.15
901007033808175   95.8153129780  -51.8931377100 14.15
901007033900612   95.8847560026  -51.9085183378 14.39
901007033900633   95.8855821068  -52.1224031088 14.24
901007033902858   95.9548609035  -51.9307919821 13.67
901007033909610   96.1945102422  -52.0696120824 13.55
901007033910070   96.2144496315  -51.9784712946 13.58
901007033910131   96.2183442031  -51.8847063109 13.98
901007034000371   96.2768760652  -52.0274941728 13.83
901007034001541   96.3251132461  -52.0283056760 14.06
901007034002743   96.3954671932  -52.0596687614 14.07
901007034003648   96.4399702243  -52.0503632451 13.95
901007034100675   96.7140102081  -52.0817917251 14.32
901007034101308   96.7491934846  -52.0162038020 13.94
901007034101746   96.7742452365  -52.0890313146 13.85
901007034103398   96.8765162040  -52.0020345697 13.56
901007034104177   96.9212076314  -52.0322205947 14.21
901007034104838   96.9618455131  -52.0789870550 14.19
901007034106880   97.0681399923  -52.1135949636 14.01
901007034201182   97.1486259308  -51.9212693094 14.32
901007034202481   97.2249728469  -51.9178582298 14.23
901007034202654   97.2349609649  -51.9708834100 13.85
901007034203936   97.3080376515  -52.0687602200 14.33
901007034203942   97.3082834183  -52.0613696770 13.74
901007034300246   97.4996045381  -52.0050448606 13.56
901007034300444   97.5162008107  -52.0735410878 14.03
901007034301037   97.5578352755  -51.9982247335 13.98
901007034301707   97.6070084735  -51.9394664947 14.39
901007034302296   97.6513447547  -52.1022445277 14.11
901007034304539   97.7874155915  -52.1199365223 13.49
901007034304678   97.7968783814  -52.0962873143 14.30
901007034304944   97.8142134935  -52.0976242666 14.21
901007034305119   97.8256319719  -52.0842880763 13.75
901007034400313   97.9025903300  -51.9512705825 13.69
901007034401513   97.9837761804  -52.0165370422 14.03
901007034402549   98.0643821007  -51.9397900608 14.14
901007034402966   98.0933446403  -52.0459060604 14.04
901007034404995   98.2494201932  -52.1041439292 14.24
901007086606931  309.2851884409  -52.0680610335 13.63
901007086608520  309.3473718826  -52.1214880739 14.07
901007086608812  309.3589933136  -52.0925760024 13.55
901007086609840  309.3999899449  -51.9517607662 13.43
901007086703835  309.5761539620  -52.0743800000 14.09
901007086706866  309.6908118798  -52.0192453951 14.03
901007086710332  309.8298961944  -51.8765154719 13.64
901007086800996  309.8737180967  -51.9935791357 14.15
901007086802673  309.9421340091  -52.1149806238 13.55
901007086805869  310.0628617091  -51.9289336285 14.25
901007086807437  310.1283183908  -51.9051827985 13.79
901007086809505  310.2190439275  -52.1129150929 14.40
901007086900374  310.2600419605  -51.8999637691 14.02
901007086906350  310.5052378215  -52.0427640183 13.63
901007086907661  310.5574485350  -52.0361753294 13.49
901007086909628  310.6325143806  -52.1087926014 13.87
901007087007648  310.9486716870  -52.0062706441 14.17
901007087008823  310.9956475653  -51.9883290915 13.83
901007087009150  311.0089211290  -52.0826475983 14.27
901007087101364  311.0993356266  -52.0236983185 13.70
901007087101783  311.1151562897  -52.0639098981 14.00
901007087105919  311.2770880508  -51.9132673168 13.62
901007087107196  311.3260576958  -51.9728523553 13.79
901007087109593  311.4248395104  -51.9399726548 14.11
901007087204784  311.6436744362  -52.0449944725 13.76
901007087205631  311.6747107768  -51.8750956265 14.42
901007087206460  311.7046174842  -52.0976431943 14.26
901007087209287  311.8162279376  -52.1085846628 14.20
901007087210207  311.8517910468  -52.1005411822 14.26
901007087302107  311.9473037392  -52.0274187729 13.39
901007087302989  311.9838572488  -51.9584738950 13.97
901007087305426  312.0816038103  -52.0332624963 13.47
901007087307642  312.1758637433  -51.9195273838 13.98
901007087401671  312.3398431892  -52.0492022653 13.81
901007087405462  312.5005748265  -51.9623520313 13.72
901007087408577  312.6265985647  -51.9038929854 14.03
901007087409060  312.6463549464  -52.1080841139 14.00
901007087502872  312.7968241982  -52.1123292904 14.20
901007087506133  312.9417294395  -52.0235304470 13.86
901007087602071  313.1564409270  -51.9146820145 13.52
901007087606280  313.3293447594  -51.9006345989 13.76
901007087606595  313.3413075546  -52.0889035248 13.99
901007087606641  313.3433364524  -52.1005576549 14.31
901007087609076  313.4516280317  -51.9788091597 14.28
901007087703428  313.6259978690  -51.9146103589 14.06
901007087706508  313.7512058744  -51.9655638564 13.59
901007087706774  313.7616342614  -51.9740564175 13.85
901007087708448  313.8272197150  -52.0843422694 13.58
901007087801581  313.9484617633  -52.0524341354 14.31
901007087904900  314.4902471402  -51.9105321095 13.81
901007087907343  314.5958490908  -52.0583954945 13.90
901007087908017  314.6247886512  -52.1149687380 14.06
901007087908943  314.6648892002  -51.9417271853 13.85
901007087909218  314.6754087969  -51.9731649856 13.75
901007088004767  314.8967531766  -51.9940868898 13.76
901007088008517  315.0750896897  -51.8791852085 14.16
901007088101075  315.1480265930  -52.0381517847 14.33
901007088104513  315.3125264962  -51.8856225823 14.29
901007088106126  315.3910352292  -51.9460589648 14.23
901007088200250  315.5130549812  -51.9276105042 13.85
901007088202506  315.6221922427  -52.0531633279 13.50
901007088207376  315.8447798367  -52.0021968341 14.20
901007088302366  316.0038914471  -52.0054925515 14.22
901007088303483  316.0530492616  -51.8758710562 13.94
901007088304970  316.1190368728  -51.9909894093 13.61
901007088402846  316.4348215526  -51.9806962974 14.15
901007088402915  316.4381119563  -52.0575046444 14.13
901007088406970  316.6100985258  -52.0503407514 13.95
901007088500080  316.7198486371  -52.1139478408 13.76
901007088501478  316.7756925154  -51.9947596794 13.46
901007088503724  316.8661006672  -51.9933482731 13.87
901007088507157  317.0103401889  -51.9392220007 13.48
901007088508318  317.0548534636  -52.1121902304 14.05
901007112404910   53.3385055830  -51.8497392053 13.51
901007112405333   53.3537059022  -51.8586337981 14.26
901007112503884   53.6966754632  -51.7074960630 14.03
901007112604201   54.1065485497  -51.6796294778 13.96
901007112605262   54.1449492778  -51.7135867914 14.12
901007112609290   54.3077100252  -51.7442871328 14.35
901007112707855   54.7147676677  -51.7598555762 14.19
901007112800434   54.7830056765  -51.6892376777 14.06
901007112800787   54.8009408800  -51.7401783237 13.73
901007112901000   55.2133570129  -51.7802303840 13.53
901007112903179   55.3095992188  -51.8432454650 13.69
901007112908720   55.5645161478  -51.6752041670 14.16
901007113000575   55.5944364428  -51.8707568596 13.64
901007113002477   55.6874850614  -51.6935365368 13.98
901007113104771   56.1793329962  -51.8042702575 13.61
901007113104939   56.1868046992  -51.8051846085 14.22
901007113107673   56.3148354273  -51.7503936356 14.31
901007113200491   56.4016705422  -51.8281778882 14.15
901007113205034   56.6564215270  -51.6588372950 13.95
901007113302034   56.8811774554  -51.6753587386 14.35
901007113409676   57.5606683387  -51.8648715544 13.52
901007122004214   91.9733017683  -51.8680463008 13.99
901007122004382   91.9813683289  -51.7292763883 14.23
901007122008313   92.1593137563  -51.6302840763 13.71
901007122008839   92.1843167903  -51.8731224421 14.42
901007122009402   92.2118518135  -51.6823746409 13.87
901007122101934   92.2958391902  -51.6980853739 13.54
901007122103888   92.3880999222  -51.7315648783 14.16
901007122106724   92.5173539629  -51.7049787816 13.97
901007122107536   92.5547132494  -51.8110143074 14.11
901007122107969   92.5738552521  -51.8685488395 14.31
901007122108899   92.6161732752  -51.8671184580 14.18
901007122202144   92.7068054606  -51.6809455959 14.27
901007122202402   92.7193556319  -51.7166278545 13.59
901007122204533   92.8177201545  -51.7364648112 13.73
901007122205090   92.8412470556  -51.8266502952 13.70
901007122205698   92.8703498498  -51.6450586048 13.95
901007122302412   93.1152633970  -51.7319222835 13.68
901007122307417   93.3049919106  -51.8146030649 13.52
901007122307927   93.3247516398  -51.8546292793 14.37
901007122310097   93.4155100688  -51.8642920700 14.37
901007122310142   93.4171100275  -51.6856565020 14.15
901007122401071   93.4562989890  -51.6515157166 13.77
901007122405579   93.6565257690  -51.6868557911 14.20
901007122500148   93.8272767830  -51.7356044252 13.90
901007122502965   93.9666597489  -51.8174449801 14.19
901007122504877   94.0642021723  -51.8178133717 13.84
901007122504905   94.0655514828  -51.8345939432 14.01
901007122506284   94.1387912278  -51.6388108708 13.86
901007122507260   94.1944776735  -51.7704210395 14.35
901007122507560   94.2085519371  -51.6818126748 13.63
901007122603735   94.4203449220  -51.8738589131 13.72
901007122607128   94.5721659953  -51.7056675334 13.68
901007122608232   94.6277304974  -51.8628987269 14.31
901007122702127   94.7263351421  -51.8133649625 14.21
901007122801631   95.1061411359  -51.8397628146 14.06
901007122801701   95.1101121837  -51.7596829107 13.53
901007122802824   95.1688675021  -51.7006047526 13.51
901007122803170   95.1862306348  -51.7521775817 13.94
901007122803388   95.1968995644  -51.7252182287 14.41
901007122803694   95.2124679688  -51.7089382846 13.47
901007122804521   95.2545859514  -51.6997280820 14.16
901007122805912   95.3262065706  -51.7533714633 13.57
901007122806298   95.3438622339  -51.6549385458 13.86
901007122806875   95.3671967680  -51.6847916013 14.33
901007122900335   95.4437867041  -51.6612402854 14.31
901007122902909   95.5496350173  -51.8185910834 14.18
901007122904296   95.6142700962  -51.6415612744 14.39
901007122906553   95.7037034541  -51.6904843912 13.50
901007122906886   95.7157738487  -51.7069398023 13.65
901007123000150   95.8394412737  -51.7442875132 13.52
901007123002564   95.9475646554  -51.7242475376 14.27
901007123004024   96.0169345594  -51.8067114102 14.24
901007123004160   96.0240082469  -51.7117292522 13.67
901007123102284   96.3614332876  -51.8277362663 14.34
901007123102711   96.3845626813  -51.7971718211 14.05
901007123104255   96.4727919670  -51.6672987618 13.87
901007123107705   96.6136765301  -51.7918734973 14.09
901007123107883   96.6245304142  -51.7091231783 13.79
901007123200350   96.6621543293  -51.8456868058 13.84
901007123201335   96.7131344326  -51.8008065365 13.94
901007123201805   96.7394910002  -51.6586655893 13.66
901007123202581   96.7807181394  -51.8114396222 13.94
901007123203336   96.8165146241  -51.8050204964 13.90
901007123204616   96.8842520010  -51.7966947664 14.27
901007123205474   96.9340591272  -51.7829540388 13.69
901007123207189   97.0345587787  -51.8346361896 14.30
901007123300431   97.0702250939  -51.7163913804 13.89
901007123303281   97.2313762598  -51.8361414429 13.87
901007123305539   97.3548234040  -51.8595335072 13.76
901007123305767   97.3690289044  -51.8666961074 14.02
901007123306675   97.4278159915  -51.8294856635 14.25
901007123400755   97.4962912011  -51.7965555952 13.84
901007123401078   97.5204615439  -51.8419929773 13.99
901007123403419   97.7015431731  -51.7013183412 13.69
901007123403780   97.7268079840  -51.7262471510 13.93
901007123403980   97.7443043182  -51.6530758696 13.74
901007123404109   97.7561744520  -51.8601517050 13.86
901007123500335   97.8708133322  -51.8297337374 13.68
901007123501011   97.9228888265  -51.7745765367 14.22
901007123503568   98.1326972452  -51.7487137239 13.71
901007123504525   98.2122023610  -51.7772963948 14.17
901007175903802  309.0008322531  -51.7958755068 13.93
901007175907739  309.1366470049  -51.7537721316 14.18
901007175908624  309.1684373875  -51.6921299075 13.68
901007175910499  309.2357683220  -51.6665520893 13.70
901007176002552  309.3504535499  -51.7268550439 13.93
901007176008961  309.5692196186  -51.6752386285 14.28
901007176011213  309.6585257786  -51.8517394153 14.36
901007176101908  309.7400304151  -51.7557642973 14.26
901007176103346  309.7960758322  -51.6868299771 14.00
901007176104840  309.8564632965  -51.8675623883 14.00
901007176106365  309.9141786606  -51.7419564197 14.07
901007176108314  309.9859420032  -51.7089263598 13.70
901007176202793  310.1654118523  -51.7214123019 14.44
901007176203803  310.2070746212  -51.7643762513 13.48
901007176206401  310.3146231774  -51.8664330968 14.15
901007176207220  310.3449878283  -51.6766951400 14.19
901007176302907  310.5806821269  -51.8285454545 14.43
901007176304102  310.6322522212  -51.7426701159 14.12
901007176304656  310.6554771979  -51.8073070684 13.93
901007176308227  310.7984843398  -51.7687667822 14.03
901007176309525  310.8546165626  -51.6404793976 13.44
901007176401061  310.9153650643  -51.6800055536 13.63
901007176401251  310.9252751932  -51.8621366535 14.09
901007176401507  310.9370351814  -51.6646716238 14.00
901007176404925  311.0763011088  -51.7655454458 13.97
901007176405491  311.0994931909  -51.8530417033 14.42
901007176407326  311.1773857762  -51.8290968620 13.81
901007176407550  311.1863166251  -51.8675393690 14.42
901007176407754  311.1947485835  -51.7575724923 13.94
901007176409504  311.2699267160  -51.6518415821 14.15
901007176500777  311.3012526639  -51.6436751269 14.15
901007176500863  311.3042336396  -51.8454430004 14.02
901007176501762  311.3400165407  -51.6381345100 14.09
901007176504635  311.4631576390  -51.7191962945 13.65
901007176505250  311.4890340482  -51.6857047351 13.89
901007176507101  311.5686569406  -51.7193056719 13.51
901007176507250  311.5758926525  -51.8423157802 14.24
901007176604661  311.8647510156  -51.7365855643 14.12
901007176607959  311.9944007637  -51.8570651367 13.96
901007176703050  312.2100139949  -51.8742925855 13.70
901007176703958  312.2490250439  -51.6359532457 14.27
901007176803722  312.6387567342  -51.8455405888 13.97
901007176806677  312.7666928735  -51.6839318122 14.02
901007176808861  312.8511931515  -51.8178674399 14.06
901007176905394  313.0957177616  -51.8039104221 13.58
901007176906768  313.1507634406  -51.6932138966 13.74
901007177001097  313.3271960885  -51.8227222992 13.62
901007177004324  313.4663784769  -51.7978393452 14.01
901007177005287  313.5065546489  -51.7771002615 14.18
901007177006454  313.5605742509  -51.7797030819 14.11
901007177007742  313.6170207778  -51.6341192006 14.01
901007177007900  313.6240401250  -51.6874635671 13.76
901007177105564  313.9672067223  -51.7392062850 13.93
901007177106217  313.9974589462  -51.6403394983 14.20
901007177106743  314.0216093501  -51.7716942435 13.75
901007177201420  314.1588523994  -51.8739147484 13.86
901007177202722  314.2253043826  -51.8170146614 13.82
901007177205068  314.3374378616  -51.6970890427 14.31
901007177300946  314.5387235742  -51.7004194269 13.84
901007177301814  314.5789375895  -51.7877424403 13.99
901007177304768  314.7114199518  -51.6722628373 13.83
901007177306234  314.7860257688  -51.6799124665 14.33
901007177307355  314.8377345439  -51.8112557365 14.29
901007177307655  314.8542670390  -51.8153893282 13.55
901007177504503  315.5146568052  -51.6378366208 14.32
901007177507999  315.6662022066  -51.6938743733 14.26
901007177602227  315.7955764302  -51.7590244209 14.24
901007177604753  315.8977134419  -51.6761703820 14.15
901007177702597  316.2034106103  -51.6912449038 13.70
901007177705726  316.3382220986  -51.7631512164 14.04
901007177708819  316.4763448301  -51.7148085118 14.09
901007177804542  316.6840868653  -51.6672985783 13.47
901007177805492  316.7194861449  -51.6481578729 14.07
901007177809811  316.9008306079  -51.7371100445 14.23
901007177901665  316.9823728047  -51.8456146580 14.32
901007202100713   54.0219336624  -51.5766977221 13.52
901007202103783   54.1384750509  -51.6112619471 14.10
901007202204968   54.6085288120  -51.5349959105 14.30
901007202205260   54.6207795232  -51.4138310448 13.82
901007202206538   54.6754293131  -51.5925949356 14.20
901007202300298   54.8106472749  -51.4180303161 13.98
901007202307120   55.1164871568  -51.5855713628 14.21
901007202401783   55.2768688165  -51.4994395838 13.95
901007202509049   55.9993366531  -51.4188674154 13.92
901007202601197   56.0517873448  -51.5330778549 14.31
901007202701840   56.4833807520  -51.4872929353 13.70
901007202704387   56.6001302749  -51.3822966003 14.12
901007202707145   56.7349499745  -51.6092667021 14.07
901007202800131   56.8040338647  -51.3884312006 14.45
901007211603083   92.1317904974  -51.5872813225 13.89
901007211603721   92.1583723331  -51.6179123942 13.72
901007211609415   92.3911778284  -51.4553570772 13.67
901007211705760   92.6241229090  -51.5340262324 13.64
901007211705835   92.6272792895  -51.6173940189 14.12
901007211706737   92.6634576276  -51.5444029505 13.47
901007211706761   92.6643220499  -51.6091146508 14.15
901007211707482   92.6909605329  -51.5773872867 13.80
901007211707759   92.7051227823  -51.4996145240 13.49
901007211709387   92.7750439663  -51.4653640335 14.08
901007211801301   92.8518845309  -51.5783173788 14.24
901007211803251   92.9288470681  -51.5917650096 14.16
901007211804310   92.9704401577  -51.5344461998 13.67
901007211805966   93.0419017156  -51.5214837729 14.07
901007211806893   93.0774541110  -51.3816171634 13.59
901007211807260   93.0924447573  -51.5725595910 14.06
901007211902312   93.2828308275  -51.4090779621 14.13
901007211904204   93.3547184650  -51.5534020388 13.57
901007211906290   93.4343973170  -51.5180360499 13.96
901007211906787   93.4500906260  -51.5832320881 14.20
901007212001890   93.6728051734  -51.4247249117 13.63
901007212004842   93.8062428903  -51.4024282846 14.33
901007212007925   93.9445969406  -51.6201556496 14.37
901007212008674   93.9784136914  -51.5840862968 14.28
901007212102721   94.1245480670  -51.5097551590 13.49
901007212102777   94.1271899979  -51.4776168635 14.28
901007212103429   94.1580286856  -51.4531865846 14.31
901007212104203   94.1939966472  -51.5395000535 13.53
901007212105677   94.2666143918  -51.4243090848 14.33
901007212106861   94.3278865647  -51.6050866035 13.54
901007212107552   94.3623281265  -51.5029271871 13.80
901007212108212   94.3945188677  -51.5526133852 13.91
901007212200083   94.4011476580  -51.4046856226 13.62
901007212200621   94.4267872116  -51.5463998373 14.21
