ROWID  RA DEC PSFMAG_R
901003618911877   68.8501737482  -62.9276165449 13.68
901003618914098   68.9298292090  -63.0144537913 14.23
901003619000303   68.9415703231  -63.0069646002 13.88
901003619000572   68.9520704977  -63.0873093088 13.94
901003619002680   69.0271588994  -62.9904113320 14.20
901003619105504   69.6759966386  -63.0448712442 14.11
901003619106589   69.7143070627  -63.1046993928 13.50
901003619114762   70.0163958111  -63.1001296839 13.55
901003619201375   70.0705120481  -62.9664391680 14.06
901003619212382   70.4374234492  -62.8864414380 13.77
901003619212536   70.4428480741  -63.0953350977 14.23
901003619213520   70.4759253988  -63.0296658585 14.23
901003619306106   70.7401352533  -63.0781041672 13.70
901003619308550   70.8142088015  -62.9973767697 14.33
901003619308987   70.8286079820  -62.8916377176 14.38
901003619314242   70.9830335636  -63.0277153542 14.37
901003619402389   71.1901475292  -63.0501013518 13.47
901003619415850   71.5965554434  -62.9123705141 13.46
901003619416144   71.6054746380  -62.8809530770 14.22
901003619417145   71.6348342692  -62.9091153877 14.31
901003619500458   71.6773140888  -63.1078001441 13.91
901003619502379   71.7362482514  -63.0779209020 13.69
901003619512735   72.0559281610  -62.9115478414 14.04
901003619517915   72.2144366650  -63.0483271679 13.61
901003619604122   72.3353396673  -62.9893882982 13.72
901003683801453   62.9559037410  -62.6550017316 13.50
901003683801928   62.9766514035  -62.7988583636 14.04
901003683802795   63.0176566565  -62.7879412336 14.32
901003683803340   63.0437670476  -62.6671537516 14.00
901003683803585   63.0557029177  -62.7493671075 13.66
901003683803936   63.0730729897  -62.6854946471 13.73
901003683806726   63.2021795571  -62.6363265284 13.89
901003683806825   63.2061795070  -62.8448466632 14.33
901003683807047   63.2181328306  -62.7426501212 13.61
901003683901630   63.5027279817  -62.8069331919 14.25
901003683908458   63.8583335887  -62.7249686114 14.27
901003683908959   63.8841884645  -62.7974425271 13.55
901003683909222   63.8969208054  -62.8282050982 14.00
901003683910387   63.9614880385  -62.7899661390 13.93
901003684003189   64.1436132952  -62.7727150553 14.42
901003684106824   64.8306949638  -62.7667468918 14.36
